airline_sentiment,text
positive,"I loved the service on my flight today!"
negative,"The flight was delayed for 3 hours, very disappointed."
neutral,"The flight was okay, nothing special to mention."
positive,"Great food and friendly staff on board, thank you!"
negative,"Terrible experience, lost my luggage."
neutral,"Average flight, arrived on time."
positive,"Amazing! The crew was so helpful and kind."
negative,"The seat was broken and uncomfortable for the entire trip."
neutral,"It was just a normal flight, nothing remarkable."
positive,"Fantastic flight experience, I will recommend it to friends!"
negative,"Worst airline experience ever, never flying with them again."
neutral,"Nothing to complain about, just another day of flying."
positive,"Excellent customer service, really made my day!"
negative,"The plane was old, noisy, and felt unsafe."
neutral,"Nothing special, the flight was average."
positive,"Smooth check-in and friendly staff, great job!"
negative,"Horrible delay, missed my connection flight."
neutral,"Standard flight, nothing memorable to mention."
positive,"The crew went above and beyond to help us."
negative,"I had the worst seat in the entire plane."
neutral,"No issues, but nothing outstanding either."
positive,"The food was delicious, best I've ever had on a plane!"
negative,"Lost baggage and no support from the airline, terrible."
neutral,"Flight was on time, but the experience was basic."
positive,"Very impressed with the level of care and attention."
negative,"Unfriendly staff and cramped seating, not enjoyable."
neutral,"Nothing stood out, just another flight."
positive,"Loved the entertainment options, great selection of movies!"
negative,"The ticket was overpriced for the service provided."
neutral,"Average experience, no complaints."
positive,"The legroom was surprisingly good for economy class."
negative,"No in-flight entertainment on a long-haul flight, disappointing."
neutral,"The flight was as expected, nothing more."
positive,"The staff handled a medical emergency with great care."
negative,"Missed my flight due to poor communication from the airline."
neutral,"Clean cabin, but nothing to rave about."
positive,"The complimentary snacks were a nice touch!"
negative,"Flight was canceled without prior notice, very frustrating."
neutral,"Flight landed on time, which is all I needed."
positive,"The pilot kept us informed throughout the journey."
negative,"Rude staff and terrible service at the check-in counter."
neutral,"The boarding process was smooth and efficient."
positive,"I was upgraded to business class, amazing experience!"
negative,"The air conditioning was broken, made the flight unbearable."
neutral,"The experience was neither bad nor exceptional."
positive,"I received special assistance, and it was handled perfectly."
negative,"The restroom was dirty and poorly maintained."
neutral,"The flight was quiet, no disturbances at all."
positive,"Impressed by the fast boarding and departure time!"
negative,"My seat didn't recline, making the flight very uncomfortable."
neutral,"It was a short flight, so I didn't expect much."
positive,"The cabin crew made my child feel special, amazing service!"
negative,"Snacks were stale and the drinks were warm, not worth the price."
neutral,"The boarding was neither delayed nor rushed, good timing."
positive,"Fast and efficient check-in process, well done!"
negative,"Overbooked flight, had to wait for the next one."
neutral,"Seat comfort was average, nothing out of the ordinary."
positive,"The in-flight entertainment had the latest movies, very enjoyable!"
negative,"Very noisy cabin, couldn't sleep at all during the flight."
neutral,"The flight duration was short, so no major issues."
positive,"The staff provided blankets and pillows, great attention to detail."
negative,"Poor customer service at the gate, very disappointing."
neutral,"Arrived on time, no complaints."
positive,"The plane was new and very clean, felt luxurious."
negative,"No Wi-Fi on board despite promises, very frustrating."
neutral,"Boarding was seamless, but the flight was standard."
positive,"Free upgrades for frequent flyers, made my day!"
negative,"The luggage compartment above my seat was broken, inconvenient."
neutral,"Nothing remarkable, but it got me to my destination."
positive,"The crew celebrated a passenger's birthday, lovely gesture!"
negative,"The food was overpriced and not tasty at all."
neutral,"The flight crew was polite, but the service was average."
positive,"The pilot's updates during turbulence were very reassuring."
negative,"I was charged extra for a carry-on bag, unacceptable."
neutral,"The seats were okay, not much legroom though."
positive,"Free drinks for all passengers, very nice surprise!"
negative,"The headphones provided didn't work, couldn't enjoy the movie."
neutral,"It was a standard flight, as expected."
positive,"The check-in agent was very friendly and helpful."
negative,"The flight attendants ignored my request for water, very rude."
neutral,"The airplane was clean but nothing special."
positive,"They accommodated my dietary restrictions perfectly, great job!"
negative,"The cabin temperature was too cold, very uncomfortable."
neutral,"The flight crew handled everything professionally, nothing special."
positive,"Smoothest landing I've ever experienced, great pilot!"
negative,"The boarding process was chaotic and disorganized."
neutral,"The experience was okay, neither good nor bad."
